Player,Position,Age,Team,Games,Minutes,PER,TS,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,ORtg,DRtg,OWS,DWS,WS
Jon Leuer,PF,24,MEM,49,642,17.6,0.566,6.8,22.4,14.6,5.2,1.5,1.7,9.2,21.1,112,103,1.1,0.9,2
Deron Williams,PG,29,BRK,64,2059,17.6,0.564,0.9,8.9,4.9,32.8,2.4,0.5,15,21.8,112,109,3.8,1.5,5.4
David West,PF,33,IND,80,2472,17.5,0.533,5.7,18.3,12.3,16.1,1.3,2.3,11.2,21.9,108,99,3.1,5,8.1
Jeff Adrien,PF,27,TOT,53,961,17.4,0.553,11.8,24.8,18.2,6.8,1.3,3,10.6,17.3,114,106,1.6,1.1,2.7
DeJuan Blair,PF,24,DAL,78,1214,17.3,0.557,13.3,21.6,17.5,8.9,2.5,1.4,14.7,19.6,110,105,1.8,1.5,3.4
Jamal Crawford,SG,33,LAC,69,2094,17.3,0.556,1.9,6.4,4.2,17.4,1.4,0.4,10.5,27.2,110,109,3.8,1.5,5.3
Jeff Teague,PG,25,ATL,79,2542,17.1,0.541,1.6,7.9,4.7,35.1,1.8,0.5,16.1,25.7,106,109,3.3,1.9,5.2
Andrew Bogut,C,29,GSW,67,1769,17,0.61,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,115,96,2.4,4,6.5
Anderson Varejao,C,31,CLE,65,1800,17,0.527,11.4,28.2,19.6,12.2,2,1.8,12.2,14.6,114,103,2.7,2.7,5.4
Michael Beasley,SF,25,MIA,55,831,16.8,0.559,4.9,20.5,13,8.8,1.5,2.2,12.8,25.7,103,105,0.5,1.1,1.6
Samuel Dalembert,C,32,DAL,80,1614,16.8,0.605,14.4,24.2,19.4,3.4,1.3,4.8,17.1,14.8,117,105,2.9,2.1,4.9
Monta Ellis,PG,28,DAL,82,3023,16.8,0.532,1.5,9.8,5.6,24.8,2.4,0.6,15.2,26,104,109,2.8,2.1,4.9
Paul Pierce,SF,36,BRK,75,2098,16.8,0.595,1.5,18.3,9.9,14.5,2.2,1.2,15.3,22.4,109,106,2.9,2.3,5.2
Kemba Walker,PG,23,CHA,73,2614,16.8,0.499,1.7,11.6,6.6,29.7,1.7,1,11.6,25.8,103,105,1.8,3.3,5.1
Timofey Mozgov,C,27,DEN,82,1770,16.7,0.584,10.4,21.9,16.1,5.5,0.7,4.2,15.6,18.8,111,106,2.6,1.9,4.5
Nene Hilario,PF,31,WAS,53,1560,16.6,0.53,4.7,17.3,10.9,16.3,2.1,2.5,14.1,24,102,103,0.8,2.4,3.2
Thaddeus Young,PF,25,PHI,79,2718,16.6,0.512,6.3,12.8,9.5,11.8,3,1.1,10.7,24.1,101,108,1.2,2.3,3.5
Gorgui Dieng,C,24,MIN,60,818,16.5,0.534,13.4,26.9,20,7.2,1.8,4.6,16.8,16.8,106,100,0.7,1.5,2.2
Gerald Green,SG,28,PHO,82,2330,16.5,0.585,2.3,10.9,6.6,8.6,1.5,1.4,11.6,23.6,112,108,4.2,1.9,6.1
Tobias Harris,PF,21,ORL,61,1850,16.5,0.542,5.4,20.6,13,7.7,1.1,1,8.7,22.2,108,107,2.4,1.7,4.1
Brandon Knight,PG,22,MIL,72,2400,16.5,0.523,2.1,10.3,6.1,26.6,1.5,0.6,13.2,26.8,104,114,2.4,0.4,2.8
Kosta Koufos,C,24,MEM,80,1349,16.5,0.514,14,22.7,18.4,4.7,1.3,4.4,11.8,19.4,106,101,1.3,2.2,3.5
Kyle O'Quinn,C,23,ORL,69,1188,16.5,0.526,9.5,25.2,17.3,10.9,1.7,5.8,16.1,18.6,102,101,0.5,2,2.5
Tiago Splitter,C,29,SAS,59,1271,16.5,0.572,11.4,20.5,16.1,10.1,1.2,1.8,15.1,17.7,114,102,2.3,2.1,4.3
Tyson Chandler,C,31,NYK,55,1662,16.4,0.615,10.9,27,18.7,5.5,1.2,3.4,15.4,12.9,120,106,3.1,1.9,4.9
Jared Sullinger,PF,21,BOS,74,2041,16.4,0.497,13,20.6,16.7,10.1,0.9,1.8,10.7,24.1,105,107,1.9,2,3.9
Kevin Martin,SG,30,MIN,68,2177,16.3,0.553,1.7,8.7,5.1,9.2,1.5,0.2,8.3,25,110,109,3.8,1.5,5.3
D.J. Augustin,PG,26,TOT,71,1939,16.2,0.569,0.9,6.7,3.8,28.9,1.5,0.1,13.3,22.4,113,105,3.8,2.4,6.2
Darren Collison,PG,26,LAC,80,2069,16.2,0.575,2.6,7.3,5,21.9,2.2,0.6,14.3,19.7,113,107,3.8,2,5.9
Jeremy Evans,SF,26,UTA,66,1209,16.2,0.549,11.1,18.7,14.8,6.1,1.8,3,9.9,15.3,114,109,1.9,1,2.8
Gordon Hayward,SF,23,UTA,77,2800,16.2,0.52,2.5,14,8,24.1,2.1,1.1,15,23.1,104,111,2.2,1.5,3.6
J.J. Hickson,PF,25,DEN,69,1859,16.2,0.521,11.9,24.8,18.3,8.4,1.2,2,14.1,20.8,103,106,1.3,2.1,3.3
Henry Sims,C,23,TOT,46,875,16.1,0.535,12.5,17.2,14.8,9.5,1.6,1.9,11.1,18,113,109,1.4,0.7,2.1
Jonas Valanciunas,C,21,TOR,81,2282,16.1,0.579,11.5,25.1,18.2,4.2,0.5,2.5,14.7,18.5,112,104,3.5,3.2,6.7
Arron Afflalo,SG,28,ORL,73,2552,16,0.574,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,110,112,4.3,1,5.3
Taj Gibson,PF,28,CHI,82,2351,16,0.524,9.8,17.1,13.5,7.3,0.9,3.7,12.8,23,102,100,1.4,4.4,5.7
C.J. Miles,SG,26,CLE,51,984,16,0.569,2,9.9,5.9,9.1,2.4,1.3,9.1,22,111,107,1.5,0.9,2.5
Ramon Sessions,PG,27,TOT,82,2214,16,0.539,1.9,8.6,5.2,25.7,1.2,0.3,13.5,22.7,108,111,3.1,1.2,4.3
Nick Young,SG,28,LAL,64,1810,16,0.564,1.7,8.1,4.9,9,1.2,0.5,8.6,26.8,107,114,2.3,0.3,2.5
Vince Carter,SG,37,DAL,81,1973,15.9,0.539,4,12.6,8.3,16.5,1.6,1.5,10.7,23.1,109,110,3,1.3,4.3
Ed Davis,PF,24,MEM,63,956,15.9,0.542,11.4,20.9,16.1,4.5,0.9,3.7,10.8,17.8,110,103,1.2,1.4,2.6
Chandler Parsons,SF,25,HOU,74,2783,15.9,0.565,2.9,12.8,8.2,17.3,1.6,0.8,11.7,19.3,114,108,5.1,2.5,7.6
Trevor Ariza,SF,28,WAS,77,2723,15.8,0.59,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,113,104,4.3,3.7,8
Nicolas Batum,SF,25,POR,82,2956,15.8,0.589,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,113,106,4.8,3.1,7.9
Alec Burks,SG,22,UTA,78,2193,15.8,0.547,3,10.7,6.8,16.9,1.7,0.5,13,23.9,106,113,2.6,0.6,3.2
