RK,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG_,OBP,SLG,OPS
119,SF,LF,135,506,58,125,25,5,23,73,29,145,2,1,0.247,0.29,0.453,0.743
120,PIT,3B,137,475,43,117,31,1,17,75,31,68,1,0,0.246,0.297,0.423,0.72
121,HOU,DH,153,566,66,139,20,11,27,88,30,119,0,1,0.246,0.285,0.463,0.748
122,BOS,3B,126,470,43,115,25,1,10,47,25,73,0,0,0.245,0.292,0.366,0.658
123,MIN,3B,152,573,74,140,35,4,22,86,50,124,2,1,0.244,0.307,0.435,0.742
124,LAA,1B,157,602,85,147,22,0,40,95,50,72,5,3,0.244,0.307,0.48,0.787
125,NYM,1B,135,471,67,115,33,0,27,73,66,138,0,2,0.244,0.352,0.486,0.838
126,CHC,2B,142,475,60,115,29,1,13,54,42,149,4,3,0.242,0.307,0.389,0.696
127,TOR,C,129,441,76,106,23,2,23,77,53,106,4,5,0.24,0.329,0.458,0.787
128,MIN,RF,139,521,67,125,22,0,22,81,35,105,2,5,0.24,0.293,0.409,0.702
129,ATL,2B,152,528,55,126,23,5,6,52,56,120,12,10,0.239,0.314,0.335,0.649
130,MIN,2B,157,628,101,148,39,4,28,77,61,148,12,4,0.236,0.307,0.444,0.751
131,WSH,SS,156,583,69,136,27,2,19,62,45,187,13,5,0.233,0.29,0.384,0.674
132,NYY,C,135,465,68,108,15,1,26,94,52,97,0,0,0.232,0.32,0.437,0.756
133,CLE,1B,154,550,72,127,29,2,19,85,108,122,11,3,0.231,0.357,0.395,0.752
134,WSH,C,128,475,41,109,16,0,15,68,21,101,0,0,0.229,0.258,0.358,0.616
135,PHI,1B,129,467,53,107,29,1,23,77,27,138,0,0,0.229,0.277,0.443,0.72
136,WSH,LF,138,472,49,108,15,2,14,63,35,158,16,3,0.229,0.282,0.358,0.64
137,ARI,2B,147,515,59,117,27,5,4,43,26,144,16,4,0.227,0.264,0.322,0.587
138,STL,1B,145,469,47,106,24,2,19,58,49,148,0,1,0.226,0.304,0.407,0.711
139,CIN,RF,157,580,72,131,35,4,26,87,58,145,9,5,0.226,0.294,0.434,0.729
140,SEA,1B,146,457,47,103,15,3,17,54,47,81,8,4,0.225,0.302,0.383,0.685
141,LAD,SS,144,517,71,116,24,3,13,41,44,86,12,8,0.224,0.285,0.358,0.643
142,LAD,CF,151,480,67,101,19,1,26,54,92,170,4,7,0.21,0.346,0.417,0.763
