Player,PA,PC,PC %,CA,CC,Team
Samir Nasri,48,41,85%,6,3,Man. City
Dor Miha,48,35,73%,4,2,M. Tel-Aviv
Thorgan Hazard,47,39,83%,1,1,Mönchengladbach
Ángel Correa,46,37,80%,4,0,Atlético
Vasyl Kobin,46,36,78%,8,1,Shakhtar Donetsk
Julian Brandt,46,36,78%,2,0,Leverkusen
Steed Malbranque,43,37,86%,0,0,Lyon
Thomas Matton,43,36,84%,2,0,Gent
Lucas,42,36,86%,4,1,Paris
Erdal Rakip,42,36,86%,1,0,Malmö
Denys Dedechko,42,36,86%,0,0,Astana
John Obi Mikel,40,29,73%,0,0,Chelsea
Gareth Bale,39,31,79%,4,2,Real Madrid
Emre Çolak,37,33,89%,1,0,Galatasaray
Jem Karacan,36,32,89%,0,0,Galatasaray
Gastón Pereiro,36,30,83%,0,0,PSV
Aldo Kalulu,36,29,81%,1,1,Lyon
Evandro,34,27,79%,0,0,Porto
William Vainqueur,33,31,94%,1,0,Roma
Viktor Kovalenko,33,25,76%,0,0,Shakhtar Donetsk
Dmitri Baga,33,20,61%,0,0,BATE
Sergi Samper,32,30,94%,0,0,Barcelona
Artur Yusupov,30,28,93%,0,0,Zenit
André Hahn,30,21,70%,1,0,Mönchengladbach
Benjamin Stambouli,29,28,97%,0,0,Paris
Juan Manuel Iturbe,28,23,82%,0,0,Roma
Aleksandr Karnitski,27,14,52%,2,0,BATE
Alejandro Domínguez,25,18,72%,7,1,Olympiacos
Fabian Delph,22,22,100%,0,0,Man. City
Oleh Gusev,22,18,82%,4,1,Dynamo Kyiv
Ilya Aleksievich,22,16,73%,0,0,BATE
Gerard Gumbau,21,21,100%,0,0,Barcelona
Younes Belhanda,20,18,90%,3,0,Dynamo Kyiv
Aleksei Rios,19,11,58%,0,0,BATE
Magnus Wolff Eikrem,18,16,89%,3,1,Malmö
Roberto Pereyra,18,16,89%,0,0,Juventus
Ljubomir Fejsa,16,14,88%,0,0,Benfica
José Rodríguez,16,12,75%,0,0,Galatasaray
Dentinho,14,13,93%,1,0,Shakhtar Donetsk
Ante Coric,14,10,71%,1,0,Dinamo Zagreb
Bryan Cristante,12,12,100%,0,0,Benfica
Bertrand Traoré,12,11,92%,0,0,Chelsea
Denis Cheryshev,12,10,83%,2,1,Real Madrid
