Player,PA,PC,PC %,CA,CC,Team
Nicolas Isimat-Mirin,10,9,90%,0,0,PSV
Felipe Carvalho,10,8,80%,0,0,Malmö
Luke Shaw,6,6,100%,0,0,Man. United
Birzhan Kulbekov,6,4,67%,0,0,Astana
Daniele Rugani,5,5,100%,0,0,Juventus
Marvin Schulz,3,2,67%,0,0,Mönchengladbach
Praxitelis Vouros,1,0,0%,0,0,Olympiacos
Last updated: 26/11/2015 23:41 CET,,,,,,
,,,,,,
Legend:,,,,,,
,,,,,,
PA: Passes attempted   ,,,,,,
PC: Passes completed   ,,,,,,
PC %: Passes completion %   ,,,,,,
CA: Crosses attempted   ,,,,,,
CC: Crosses completed   ,,,,,,
